#	Name	Time [Min]	Area [µV.Min]	Quantity [% Area]	
1	12:0	8.20	109.5	0.27	
2	14:0	12.07	117.3	0.29	
3	14:1w5	12.38	24.1	0.06	
23	15:0	14.41	27.1	0.07	
4	16:0	17.05	8414.5	20.71	
5	16:1w9	17.41	100.5	0.25	
11	16:1w7	17.59	686.5	1.69	
21	16:2w6	18.52	40.6	0.10	
22	16:2w4	19.05	30.9	0.08	
6	17:0	19.52	43.6	0.11	
12	17:1w9	19.99	4.0	0.01	
13	17:1w7	20.07	9.2	0.02	
14	17:2w5	21.16	8.2	0.02	
15	18:0	22.24	1220.5	3.00	
16	18:1w9	22.78	11024.5	27.13	
17	18:1w7	22.86	167.1	0.41	
18	18:2w6	23.99	16160.1	39.77	
19	18:3w3	25.44	236.5	0.58	
7	20:0	27.37	45.1	0.11	
20	20:1w9	27.82	8.5	0.02	
8	20:2w9	28.97	70.6	0.17	
9	22:0	32.28	29.2	0.07	
10	23:0	34.70	2059.7	5.07	
	
