names	C23mg	Echmg
01LDT18S1	0.02	22.6
02LDT18S1	0.02	38.6
03LDT18S1	0.02	49.2
04LDT18S2	0.02	27.8
05LDT18S2	0.02	32.3
06LDT18S2	0.02	12.8
07LDT18S3	0.02	21.3
08LDT18S3	0.02	53.8
09LDT18S3	0.02	11.7
10SLT18S1	0.02	44.3
11SLT18S1	0.02	29.8
12SLT18S1	0.02	31.4
13SLT18S2	0.02	17.5
14SLT18S2	0.02	23.2
15SLT18S2	0.02	22.2
16SLT18S3	0.02	52.9
17SLT18S3	0.02	29.1
18SLT18S3	0.02	48.3
19LDT25S1	0.02	28.8
20LDT25S1	0.02	26.7
21LDT25S1	0.02	34
22LDT25S2	0.02	36.1
23LDT25S2	0.02	33
24LDT25S2	0.02	46.7
25LDT25S3	0.02	30.8
26LDT25S3	0.02	10.3
27LDT25S3	0.02	15.8
28SLT25S1	0.02	30.1
29SLT25S1	0.02	30.7
30SLT25S1	0.02	46.4
31SLT25S2	0.02	29.8
32SLT25S2	0.02	25.1
33SLT25S2	0.02	59.2
34SLT25S3	0.02	76.8
35SLT25S3	0.02	36.9
36SLT25S3	0.02	24.5
37LDT10S1	0.02	23.7
38LDT10S1	0.02	30.3
39LDT10S1	0.02	22.5
40LDT10S2	0.02	18.6
41LDT10S2	0.02	13.7
42LDT10S2	0.02	25.4
43LDT10S3	0.02	65.1
44LDT10S3	0.02	32.2
45LDT10S3	0.02	17.3
46SLT10S1	0.02	17.4
47SLT10S1	0.02	15.7
48SLT10S1	0.02	12.4
49SLT10S2	0.02	23.6
50SLT10S2	0.02	19.8
51SLT10S2	0.02	12.9
52SLT10S3	0.02	41.2
53SLT10S3	0.02	53.5
54SLT10S3	0.02	31.3
